Entity_name,Entity_id
김승,E0009630
문익,E0019625
이구직,E0043746
마라난타,E0017322
보혜,E0023622
단군,E0013538
선종,E0028922
장무,E0048450
전충효,E0049721
이영간,E0045178
천봉식,E0055892
이흥민,E0046694
윤명렬,E0042313
장민호,E0074672
김시,E0009652
황윤후,E0065266
이권,E0043760
김영부,E0009851
형미,E0063521
배훤백,E0021958
이정녕,E0045813
김맹,E0009094
전광용,E0049252
윤우,E0042484
순도,E0031880
타추간,E0058718
서당보,E0027683
장영실,E0048697
한우근,E0061857
박봉래,E0020722
모시몽,E0071941
정척,E0050992
윤양,E0042449
유희,E0042045
이사경,E0044512
배구자,E0068077
김만,E0009067
조철산,E0052695
이여,E0045140
적조,E0049193
최습,E0057431
임경숙,E0047363
이세광,E0044755
세강,E0029738
곽인식,E0004689
홍윤무,E0064315
홍의,E0064320
원보륜,E0040664
서전원부인,E0028160
장성길,E0048563
박완서,E0079617
김곤,E0008673
최수,E0057409
홍천경,E0064458
허항,E0063174
이시,E0044967
황정,E0065296
유문,E0071977
혜거,E0063570
오제도,E0073446
정자여,E0050825
각가,E0000429
허계,E0063022
이성부,E0079610
유조생,E0041820
선덕여왕,E0028652
도경유,E0015496
황지,E0065342
왕회종,E0039182
유호인,E0042011
광화부인,E0005346
홍문영,E0064087
지덕칠,E0054118
권복,E0006924
최규남,E0057213
김하,E0010913
안구,E0034528
성정,E0029539
이원기,E0045351
송덕기,E0030753
을지문덕,E0042969
인우,E0046990
최치운,E0057710
이상좌,E0044614
이만,E0044145
이긍세,E0043835
차재명,E0055186
문종,E0019665
정환,E0051182
송은성,E0030990
조자기,E0052544
김근,E0008804
김덕겸,E0008928
정포,E0051083
이열,E0045164
정신,E0050508
장현광,E0048902
김담,E0008897
유근,E0041297
이연수,E0045161
경문왕,E0002418
김장수,E0010323
미마사,E0019941
서운,E0027950
손진태,E0030574
안수길,E0034835
최덕지,E0057250
송계간,E0030631
정옹,E0050614
심조,E0033923
처용,E0055713
기재,E0008410
박도경,E0020630
만우,E0017677
김익상,E0010219
박용,E0020967
민기,E0020086
정은,E0050712
윤여임,E0042457
권심규,E0006979
차경석,E0055117
장룡,E0048419
최진,E0057668
